,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,MIS_Status,GrAppv,SBA_Appv,NAICS2,DiffJobs
149,CHARLOTTE,NC,28273,BANK OF AMERICA NATL ASSOC,NC,0,1997-02-28,1997-01-01,60,7,2.0,0,0,0,0,N,Y,P I F,65000.0,52000.0,0,0
150,Lynnfield (Town of),MA,1940,BANK OF AMERICA NATL ASSOC,NC,0,1997-05-23,1997-01-01,12,5,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,0,0
151,TOLEDO,OH,43608,THE HUNTINGTON NATIONAL BANK,OH,0,1997-02-28,1997-01-01,120,4,1.0,0,0,0,0,-,N,P I F,31600.0,15800.0,0,0
152,Charlotte,NC,28204,WELLS FARGO BANK NATL ASSOC,NC,541810,1997-05-29,1997-01-01,84,12,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,54,0
153,CHICO,CA,95926,BANK OF THE WEST,CA,0,1997-02-28,1997-01-01,300,5,1.0,0,0,0,0,N,N,P I F,270000.0,202500.0,0,0
154,Northboro (RR name for Northbo,MA,1532,BANK OF AMERICA NATL ASSOC,NC,0,1997-06-05,1997-01-01,60,7,1.0,0,0,0,0,-,N,P I F,20000.0,10000.0,0,0
155,TOLEDO,OH,43608,THE HUNTINGTON NATIONAL BANK,OH,0,1997-02-28,1997-01-01,60,4,1.0,0,0,0,0,-,N,P I F,10500.0,5250.0,0,0
156,Provincetown (Town of),MA,2657,BANK OF AMERICA NATL ASSOC,NC,0,1997-06-09,1997-01-01,12,3,1.0,0,0,0,0,-,N,P I F,10000.0,5000.0,0,0
157,CORAL GABLES,FL,33134,BANK OF AMERICA NATL ASSOC,FL,541310,1997-02-28,1997-01-01,240,18,1.0,15,0,0,0,N,N,P I F,500000.0,500000.0,54,-15
158,New York,NY,10019,MANUFACTURERS & TRADERS TR CO,NY,0,1997-06-12,1997-01-01,84,2,1.0,0,0,0,0,-,N,P I F,20000.0,10000.0,0,0
159,PHOENIX,AZ,85024,WELLS FARGO BANK NATL ASSOC,IL,0,1997-02-28,1997-01-01,84,1,2.0,0,0,0,0,-,N,P I F,60000.0,48000.0,0,0
160,Upper Marlboro (Marlboro),MD,20772,WELLS FARGO BANK NATL ASSOC,SD,0,1997-06-12,1997-01-01,84,10,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,0,0
161,CHARLOTTE,NC,28206,BANK OF AMERICA NATL ASSOC,NC,441120,1997-02-28,1997-01-01,300,1,1.0,0,0,0,0,-,N,P I F,221000.0,165750.0,44,0
162,RED BLUFF,CA,96080,UMPQUA BANK,CA,541330,1997-06-12,1997-01-01,84,5,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,54,0
163,GLEN GARDER,NJ,8826,"TD BANK, NATIONAL ASSOCIATION",NJ,811111,1997-02-28,1997-01-01,240,6,2.0,0,0,0,0,-,N,P I F,700000.0,525000.0,81,0
164,Ignacio,CO,81137,WELLS FARGO BANK NATL ASSOC,SD,0,1997-06-12,1997-01-01,84,3,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,0,0
165,Worcester,MA,1606,"TD BANK, NATIONAL ASSOCIATION",DE,0,1997-06-12,1997-01-01,12,2,1.0,0,0,0,0,-,N,P I F,40000.0,20000.0,0,0
166,DEL MAR,CA,92014,WELLS FARGO BANK NATL ASSOC,CA,621210,1997-02-28,1997-01-01,108,2,1.0,0,0,0,0,-,N,P I F,112000.0,84000.0,62,0
167,PETALUMA,CA,94954,WELLS FARGO BANK NATL ASSOC,CA,422810,1997-02-28,1997-01-01,102,10,1.0,0,0,0,0,-,N,P I F,80000.0,64000.0,42,0
168,Denver,CO,80202,KEYBANK NATIONAL ASSOCIATION,OH,0,1997-06-13,1997-01-01,84,9,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,0,0
169,OREGON,OH,53575,THE HUNTINGTON NATIONAL BANK,OH,0,1997-02-28,1997-01-01,180,1,1.0,0,0,0,0,N,N,P I F,135000.0,101250.0,0,0
170,Lawrence,MA,1841,"TD BANK, NATIONAL ASSOCIATION",DE,722410,1997-06-16,1997-01-01,180,2,0.0,0,0,0,0,-,N,P I F,70000.0,35000.0,72,0
171,BOHEMIA,NY,11716,BANK OF AMERICA NATL ASSOC,NY,0,1980-06-18,1980-01-01,10,22,2.0,0,0,0,0,N,N,CHGOFF,125000.0,112500.0,0,0
172,New Haven,CT,6530,WEBSTER BANK NATL ASSOC,CT,541430,1997-06-17,1997-01-01,12,1,1.0,0,0,0,0,-,N,P I F,75000.0,37500.0,54,0
173,Salem,OR,3079,"TD BANK, NATIONAL ASSOCIATION",DE,421810,1997-06-18,1997-01-01,12,1,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,42,0
174,LOVELAND,CO,80537,JPMORGAN CHASE BANK NATL ASSOC,OH,0,1997-02-28,1997-01-01,240,6,1.0,6,4,0,0,N,N,P I F,108000.0,108000.0,0,-2
175,WARWICK (RR NAME APPONAUG,RI,2889,BANK OF AMERICA NATL ASSOC,NC,0,1997-06-19,1997-01-01,13,1,1.0,0,0,0,0,-,N,P I F,20000.0,10000.0,0,0
176,Guilford (census name for Guil,CT,6437,BANK OF AMERICA NATL ASSOC,RI,0,1997-06-20,1997-01-01,12,3,1.0,0,0,0,0,-,N,P I F,20000.0,10000.0,0,0
177,Boston,MA,2116,BANK OF AMERICA NATL ASSOC,MA,512110,1997-06-20,1997-01-01,12,3,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,51,0
178,Boston,MA,2114,BANK OF AMERICA NATL ASSOC,MA,812320,1997-06-23,1997-01-01,60,40,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,81,0
179,FISHERS (CORPORATE NAME FOR FI,IN,46037,STAR FINANCIAL BANK,IN,332117,2006-02-07,2006-01-01,90,72,2.0,1,3,0,1,-,N,P I F,331200.0,248400.0,33,2
180,LAKE OSWEGO,OR,97034,U.S. BANK NATIONAL ASSOCIATION,OR,454110,1997-02-28,1997-01-01,120,1,2.0,0,0,0,0,-,N,P I F,300000.0,225000.0,45,0
181,Walpole,MA,2081,"TD BANK, NATIONAL ASSOCIATION",MA,453110,1997-06-23,1997-01-01,60,4,1.0,0,0,0,0,-,N,P I F,20000.0,10000.0,45,0
182,CRANSTON,RI,2910,CITIZENS BANK NATL ASSOC,RI,331513,1997-02-28,1997-01-01,96,55,1.0,0,0,0,0,N,N,P I F,400000.0,300000.0,33,0
183,TONAWANDA,NY,14150,MANUFACTURERS & TRADERS TR CO,NY,0,1997-02-28,1997-01-01,240,9,2.0,0,0,0,0,N,N,P I F,100000.0,75000.0,0,0
184,LINCOLN,NE,2865,UNION BANK AND TRUST COMPANY,NE,0,1997-06-27,1997-01-01,60,4,1.0,0,0,0,0,-,N,P I F,48000.0,24000.0,0,0
185,PROVIDENCE,RI,2908,CITIZENS BANK NATL ASSOC,RI,514210,1997-07-02,1997-01-01,36,1,0.0,0,0,0,0,-,N,P I F,10000.0,5000.0,51,0
186,NEWBURYPORT,MA,1950,DANVERSBANK,MA,541921,1997-02-28,1997-01-01,60,1,2.0,0,0,1,0,N,Y,P I F,31000.0,24800.0,54,0
187,PROVIDENCE,RI,2907,CITIZENS BANK NATL ASSOC,RI,0,1997-07-08,1997-01-01,12,5,1.0,0,0,0,0,-,N,P I F,50000.0,25000.0,0,0
188,LAS CRUCES,NM,88012,WELLS FARGO BANK NATL ASSOC,NM,238190,2006-02-07,2006-01-01,12,20,2.0,0,20,0,1,-,N,P I F,50000.0,25000.0,23,20
189,Berkley,MI,2779,"PNC BANK, NATIONAL ASSOCIATION",DE,235510,1997-07-08,1997-01-01,12,7,1.0,0,0,0,0,-,N,P I F,40000.0,20000.0,23,0
190,Litchfield,OH,3052,"PNC BANK, NATIONAL ASSOCIATION",OH,0,1997-07-09,1997-01-01,19,2,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,0,0
191,JESUP,GA,50648,FARMERS STATE BANK,IA,0,1997-02-28,1997-01-01,16,2,1.0,0,0,0,0,N,Y,CHGOFF,50000.0,40000.0,0,0
192,Cambridge,MA,2141,THE HUNTINGTON NATIONAL BANK,OH,235110,1997-07-10,1997-01-01,12,12,1.0,0,0,0,0,-,N,P I F,50000.0,25000.0,23,0
193,GARDEN GROVE,CA,92841,BANK OF AMERICA NATL ASSOC,CA,541810,2006-02-07,2006-01-01,60,7,1.0,3,10,0,1,Y,N,P I F,50000.0,25000.0,54,7
194,WINSTON-SALEM,NC,27106,WELLS FARGO BANK NATL ASSOC,NC,0,1997-02-28,1997-01-01,120,30,1.0,0,0,0,0,N,N,P I F,136000.0,102000.0,0,0
195,Quincy,MA,2269,ASSOCIATED BANK NATL ASSOC,MA,0,1997-07-16,1997-01-01,12,25,1.0,0,0,0,0,-,N,P I F,50000.0,25000.0,0,0
196,PROVIDENCE,RI,2909,CITIZENS BANK NATL ASSOC,RI,331524,1997-07-16,1997-01-01,12,20,1.0,0,0,0,0,-,N,P I F,15000.0,7500.0,33,0
197,COVENTRY (WASHINGTON),RI,2816,CITIZENS BANK NATL ASSOC,RI,541310,1997-07-21,1997-01-01,12,7,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,54,0
198,Holden (Holden Center),MA,1520,BANK OF AMERICA NATL ASSOC,NC,624410,1997-07-21,1997-01-01,60,32,1.0,0,0,0,0,Y,N,P I F,20000.0,10000.0,62,0
199,TONAWANDA,NY,14150,MANUFACTURERS & TRADERS TR CO,NY,0,1997-02-28,1997-01-01,84,9,2.0,0,0,0,0,N,N,P I F,100000.0,75000.0,0,0
200,Holbrook,NY,2343,CAPITAL ONE NATL ASSOC,NY,0,1997-07-24,1997-01-01,12,1,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,0,0
201,Boston,MA,2119,BANK OF AMERICA NATL ASSOC,MA,0,1997-07-25,1997-01-01,12,1,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,0,0
202,Hartford,CT,6106,"TD BANK, NATIONAL ASSOCIATION",DE,311812,1997-08-26,1997-01-01,3,19,1.0,0,0,0,0,-,N,P I F,70000.0,35000.0,31,0
203,EAST PROVIDENCE,RI,2914,CITIZENS BANK NATL ASSOC,RI,442210,1997-08-27,1997-01-01,12,4,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,44,0
204,Cohasset,MN,2025,AMERICAN BANK OF THE NORTH,MN,0,1997-08-28,1997-01-01,12,1,1.0,0,0,0,0,-,N,P I F,50000.0,25000.0,0,0
205,RENO,NV,89502,NEVADA ST. DEVEL CORP,NV,561440,2006-02-07,2006-01-01,27,10,1.0,11,10,0,1,Y,N,CHGOFF,50000.0,25000.0,56,-1
206,LE SUEUR,MN,56058,FIRST FARMERS & MERCHANTS BANK,MN,0,1997-02-28,1997-01-01,149,6,1.0,0,0,0,0,N,N,P I F,100000.0,75000.0,0,0
207,Swansea (Swansea Village),MA,2777,BANK OF AMERICA NATL ASSOC,NC,541310,1997-08-29,1997-01-01,12,4,1.0,0,0,0,0,-,N,P I F,50000.0,25000.0,54,0
208,VIRGINIA BEACH,VA,23455,BANK OF AMERICA NATL ASSOC,VA,711510,2006-02-07,2006-01-01,84,1,2.0,2,1,0,1,-,N,P I F,10000.0,8500.0,71,-1
209,Holyoke,MA,1040,PEOPLE'S UNITED BANK,CT,0,1997-08-29,1997-01-01,12,30,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,0,0
210,BUFFALO,NY,14201,MANUFACTURERS & TRADERS TR CO,NY,0,1997-02-28,1997-01-01,180,1,2.0,0,0,0,0,N,N,P I F,150000.0,112500.0,0,0
211,Weston (Town of),MA,2193,BANK OF AMERICA NATL ASSOC,NC,0,1997-09-19,1997-01-01,12,10,0.0,0,0,0,0,-,N,P I F,100000.0,50000.0,0,0
212,SEATTLE,WA,98109,BANK OF AMERICA NATL ASSOC,WA,453910,2006-02-07,2006-01-01,41,1,2.0,3,4,0,1,-,N,CHGOFF,74000.0,62900.0,45,1
213,Winchester (Town of),MA,1890,BANK OF AMERICA NATL ASSOC,RI,0,1997-09-24,1997-01-01,12,2,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,0,0
214,LA CROSSE,WI,51064,PARK BANK,WI,0,1997-02-28,1997-01-01,246,1,2.0,0,0,0,0,N,N,P I F,73500.0,58800.0,0,0
215,Langhorne,PA,19047,MANUFACTURERS & TRADERS TR CO,NY,0,1997-09-26,1997-01-01,60,2,1.0,0,0,0,0,-,N,P I F,55000.0,27500.0,0,0
216,POMPANO BEACH,FL,33060,BANK OF AMERICA NATL ASSOC,NC,0,1997-02-28,1997-01-01,240,2,2.0,0,0,0,0,N,N,P I F,184000.0,138000.0,0,0
217,Hartford,CT,6010,"TD BANK, NATIONAL ASSOCIATION",DE,445310,1997-09-29,1997-01-01,12,1,1.0,0,0,0,0,-,N,P I F,20000.0,10000.0,44,0
218,Bourne,MA,2532,BANK OF AMERICA NATL ASSOC,MA,235420,1997-09-29,1997-01-01,12,7,1.0,0,0,0,0,-,N,P I F,50000.0,25000.0,23,0
219,Boston,MA,2116,BANK OF AMERICA NATL ASSOC,MA,0,1997-09-29,1997-01-01,12,50,1.0,0,0,0,0,-,N,P I F,20000.0,10000.0,0,0
220,BELLEVIEW,FL,34420,BANK OF AMERICA NATL ASSOC,NC,0,1997-02-28,1997-01-01,12,1,1.0,0,0,0,0,N,Y,CHGOFF,25000.0,20000.0,0,0
221,YULEE,FL,32097,SYNOVUS BANK,FL,0,1997-02-28,1997-01-01,297,3,2.0,0,0,0,0,N,N,P I F,330000.0,247500.0,0,0
222,Watertown (Town of),MA,2172,BANK OF AMERICA NATL ASSOC,RI,0,1997-10-09,1998-01-01,12,2,1.0,0,0,0,0,-,N,P I F,10000.0,5000.0,0,0
223,West Reading,PA,19611,MANUFACTURERS & TRADERS TR CO,PA,0,1997-10-10,1998-01-01,18,3,0.0,0,0,0,0,-,N,P I F,20000.0,10000.0,0,0
224,SANTA ROSA,CA,95401,UMPQUA BANK,CA,722110,2006-02-07,2006-01-01,60,20,2.0,0,0,0,1,N,N,CHGOFF,250000.0,187500.0,72,0
225,ROSEVILLE,CA,55113,WELLS FARGO BANK NATL ASSOC,CA,421310,1997-02-28,1997-01-01,42,10,2.0,0,0,0,0,N,Y,P I F,65000.0,52000.0,42,0
226,Wrentham (census name Wrentham,MA,2093,BANK OF AMERICA NATL ASSOC,RI,541511,1997-10-10,1998-01-01,12,5,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,54,0
227,Hartford,CT,6114,"TD BANK, NATIONAL ASSOCIATION",DE,235210,1997-10-14,1998-01-01,27,5,1.0,0,0,0,0,-,N,P I F,10000.0,5000.0,23,0
228,Brookline (Town of),MA,2146,BANK OF AMERICA NATL ASSOC,RI,0,1997-10-29,1998-01-01,12,1,1.0,0,0,0,0,-,N,P I F,5000.0,2500.0,0,0
229,MERIDEN,CT,6450,BANK OF AMERICA NATL ASSOC,CT,235510,1997-11-03,1998-01-01,12,6,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,23,0
230,AVON,IN,6001,WELLS FARGO BANK NATL ASSOC,OH,0,1997-02-28,1997-01-01,60,3,2.0,0,0,0,0,N,Y,P I F,60000.0,48000.0,0,0
231,Middletown,OH,6457,MANUFACTURERS & TRADERS TR CO,NY,0,1997-11-17,1998-01-01,12,3,1.0,0,0,0,0,-,N,P I F,15000.0,7500.0,0,0
232,CHANDLER,AZ,85225,JPMORGAN CHASE BANK NATL ASSOC,IL,337110,2006-02-07,2006-01-01,60,4,1.0,0,4,0,1,-,N,P I F,25000.0,12500.0,33,4
233,WHITE PLAINS  *102,NY,10603,HSBC BK USA NATL ASSOC,NY,0,1980-06-19,1980-01-01,120,60,2.0,0,0,0,0,N,N,CHGOFF,500000.0,450000.0,0,0
234,SEVERNA PARK,MD,21146,MANUFACTURERS & TRADERS TR CO,MD,621210,1997-02-28,1997-01-01,60,1,2.0,0,0,0,0,N,Y,P I F,35000.0,28000.0,62,0
235,Belmont (Town of),MA,2178,BANK OF AMERICA NATL ASSOC,RI,0,1997-11-28,1998-01-01,12,3,1.0,0,0,0,0,-,N,P I F,20000.0,10000.0,0,0
236,CARLSBAD,CA,92011,WESTERN COMMERCE BANK,CA,541990,2006-02-07,2006-01-01,60,2,1.0,0,2,0,1,-,N,P I F,45000.0,22500.0,54,2
237,ROCHESTER,NY,14623,MANUFACTURERS & TRADERS TR CO,NY,624410,1997-02-28,1997-01-01,240,24,1.0,2,24,0,0,N,N,P I F,218000.0,218000.0,62,22
238,WEST READING,PA,19611,VIST BANK,PA,0,1997-12-01,1998-01-01,84,46,1.0,0,0,1,0,-,N,P I F,100000.0,50000.0,0,0
239,North Haven (Town of),CT,6473,BANK OF AMERICA NATL ASSOC,RI,0,1997-12-04,1998-01-01,12,9,1.0,0,0,0,0,-,N,P I F,75000.0,37500.0,0,0
240,WEST READING,PA,19611,VIST BANK,PA,0,1997-12-04,1998-01-01,60,46,1.0,0,0,1,0,-,N,P I F,100000.0,50000.0,0,0
241,SAN DIEGO,CA,92113,CDC SMALL BUS. FINAN CORP,CA,488410,2006-02-07,2006-01-01,57,8,1.0,0,8,0,1,-,N,CHGOFF,246800.0,185100.0,48,8
242,RICHMOND HILL,NY,31324,JPMORGAN CHASE BANK NATL ASSOC,GA,0,1997-02-28,1997-01-01,60,1,1.0,0,0,0,0,N,Y,P I F,21200.0,16960.0,0,0
243,WEST READING,PA,19611,VIST BANK,PA,0,1997-12-04,1998-01-01,60,46,1.0,0,0,1,0,-,N,P I F,100000.0,50000.0,0,0
244,Lowell,MI,1851,THE HUNTINGTON NATIONAL BANK,OH,0,1997-12-08,1998-01-01,12,5,1.0,0,0,0,0,-,N,P I F,50000.0,25000.0,0,0
245,MEDFORD,OR,8055,PEOPLE'S BANK OF COMMERCE,OR,453991,1997-02-28,1997-01-01,120,4,2.0,0,0,0,0,N,Y,P I F,61500.0,49200.0,45,0
246,Blackstone,MA,1504,BANK OF AMERICA NATL ASSOC,RI,421690,1997-12-09,1998-01-01,104,1,0.0,0,0,0,0,-,N,P I F,30000.0,15000.0,42,0
247,BEAVERTON,OR,97005,U.S. BANK NATIONAL ASSOCIATION,OR,541940,2006-02-07,2006-01-01,120,5,1.0,0,5,0,1,-,N,P I F,419600.0,314700.0,54,5
248,HAWLEY,MN,56549,STATE BANK OF HAWLEY,MN,541613,2006-02-07,2006-01-01,82,1,1.0,0,1,0,2,Y,N,P I F,50000.0,25000.0,54,1
249,SOUTHWEST HARBOR,ME,4679,BAR HARBOR BANK & TRUST,ME,0,1997-02-28,1997-01-01,298,5,1.0,0,0,0,0,N,N,P I F,515000.0,386250.0,0,0
250,Braintree (Town of),MA,2184,BANK OF AMERICA NATL ASSOC,RI,512110,1998-01-15,1998-01-01,14,12,1.0,0,0,0,0,-,N,P I F,50000.0,25000.0,51,0
251,Lancaster,PA,17603,MANUFACTURERS & TRADERS TR CO,PA,0,1998-01-15,1998-01-01,12,22,1.0,0,0,0,0,-,N,P I F,80000.0,40000.0,0,0
252,DOVER,NH,3820,CITIZENS BANK NATL ASSOC,NH,311320,2006-02-07,2006-01-01,84,1,1.0,3,4,0,2,Y,N,P I F,66000.0,33000.0,31,1
253,GREAT BARRINGTON,MA,1230,BERKSHIRE BANK,MA,448140,1997-02-28,1997-01-01,60,1,2.0,0,0,0,0,N,Y,P I F,60000.0,48000.0,44,0
254,Reading,PA,19611,MANUFACTURERS & TRADERS TR CO,PA,0,1998-01-15,1998-01-01,12,6,0.0,0,0,0,0,-,N,P I F,100000.0,50000.0,0,0
255,Reading,PA,19606,MANUFACTURERS & TRADERS TR CO,PA,0,1998-01-20,1998-01-01,61,7,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,0,0
256,SPRINGFIELD,MO,65804,U.S. BANK NATIONAL ASSOCIATION,MO,541110,1997-02-28,1997-01-01,84,2,2.0,0,0,0,0,N,Y,P I F,30000.0,24000.0,54,0
257,BOSTON,MA,2109,CITIZENS BANK NATL ASSOC,RI,0,1998-01-22,1998-01-01,12,6,1.0,0,0,0,0,-,N,P I F,50000.0,25000.0,0,0
258,CONWAY,AR,72032,BANK OF AMERICA NATL ASSOC,AR,0,1997-02-28,1997-01-01,120,25,2.0,0,0,0,0,N,N,P I F,128000.0,76800.0,0,0
259,Acton,MA,1720,BANK OF AMERICA NATL ASSOC,CA,541511,1998-01-30,1998-01-01,12,5,1.0,0,0,0,0,-,N,P I F,75000.0,37500.0,54,0
260,Rutland (census name for Rutla,MA,1543,BANK OF AMERICA NATL ASSOC,RI,0,1998-02-05,1998-01-01,127,4,0.0,0,0,0,0,Y,N,P I F,75000.0,37500.0,0,0
261,Springfield,MO,1103,LIBERTY BANK,MO,448310,1998-02-05,1998-01-01,58,3,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,44,0
262,NASHVILLE,TN,37210,BANK OF AMERICA NATL ASSOC,TN,0,1997-02-28,1997-01-01,12,12,1.0,0,0,0,0,N,N,P I F,200000.0,150000.0,0,0
263,TORRINGTON,CT,6790,BANK OF AMERICA NATL ASSOC,CT,0,1998-02-09,1998-01-01,44,1,1.0,0,0,0,0,Y,N,P I F,15000.0,7500.0,0,0
264,TOLLESON,AZ,85353,JPMORGAN CHASE BANK NATL ASSOC,IL,484121,2006-02-07,2006-01-01,32,1,1.0,1,1,0,1,Y,N,CHGOFF,45000.0,22500.0,48,0
265,OGDEN,UT,84403,ZIONS FIRST NATIONAL BANK,UT,0,1997-02-28,1997-01-01,240,1,1.0,10,10,1,0,N,N,P I F,363000.0,363000.0,0,0
266,Braintree (Town of),MA,2184,BANK OF AMERICA NATL ASSOC,RI,0,1998-02-10,1998-01-01,45,5,1.0,0,0,0,0,-,N,P I F,40000.0,20000.0,0,0
267,Haverhill,MA,1830,"TD BANK, NATIONAL ASSOCIATION",DE,454110,1998-02-11,1998-01-01,72,2,1.0,0,0,0,0,-,N,P I F,55000.0,27500.0,45,0
268,BROOKLYN,NY,11231,JPMORGAN CHASE BANK NATL ASSOC,IL,0,1997-02-28,1997-01-01,85,25,1.0,0,0,0,0,N,N,P I F,250000.0,187500.0,0,0
269,BOSTON,MA,2132,CITIZENS BANK NATL ASSOC,RI,421940,1998-02-11,1998-01-01,48,2,0.0,0,0,0,0,-,N,P I F,60000.0,30000.0,42,0
270,Murray,UT,84107,MOUNTAIN AMERICA FCU,UT,0,1998-02-13,1998-01-01,60,20,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,0,0
271,COLO. SPRINGS,CO,80918,PIKES PEAK REGIONAL DEVEL CORP,CO,0,1997-02-28,1997-01-01,300,3,2.0,0,0,0,0,N,N,P I F,365000.0,273750.0,0,0
272,Logan,UT,84321,"PNC BANK, NATIONAL ASSOCIATION",UT,421910,1998-02-17,1998-01-01,120,1,1.0,0,0,0,0,-,N,P I F,50000.0,25000.0,42,0
273,Phoenix,AZ,85007,WELLS FARGO BANK NATL ASSOC,CA,322291,1998-02-23,1998-01-01,84,20,1.0,0,0,0,0,-,N,P I F,50000.0,25000.0,32,0
274,Bridgewater (census name for B,MA,2324,BANK OF AMERICA NATL ASSOC,RI,235210,1998-02-24,1998-01-01,12,4,0.0,0,0,0,0,-,N,P I F,50000.0,25000.0,23,0
275,FARGO,ND,58102,DAKOTA CERT. DEVEL CO,ND,561450,1997-02-28,1997-01-01,60,8,1.0,0,0,0,0,N,Y,P I F,60000.0,48000.0,56,0
276,Denver,CO,80221,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-02-25,1998-01-01,84,18,1.0,0,0,0,0,-,N,P I F,27500.0,13750.0,0,0
277,Quincy,MA,2171,ASSOCIATED BANK NATL ASSOC,MA,422320,1998-03-02,1998-01-01,31,7,0.0,0,0,0,0,-,N,P I F,75000.0,37500.0,42,0
278,LAKEVILLE,MN,55044,U.S. BANK NATIONAL ASSOCIATION,MN,0,1997-02-28,1997-01-01,58,5,1.0,0,0,0,0,N,Y,P I F,25020.0,20016.0,0,0
279,Rochester,NY,14607,MANUFACTURERS & TRADERS TR CO,NY,235310,1998-03-05,1998-01-01,12,2,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,23,0
280,Temple,TX,19560,COMPASS BANK,AL,0,1998-03-06,1998-01-01,58,7,1.0,0,0,0,0,-,N,P I F,35000.0,17500.0,0,0
281,WEST JORDAN,UT,84088,ZIONS FIRST NATIONAL BANK,UT,331521,1997-02-28,1997-01-01,240,22,1.0,8,8,0,0,N,N,P I F,248000.0,248000.0,33,0
282,Lincoln (census name for Linco,ME,4457,KEYBANK NATIONAL ASSOCIATION,OH,621310,1998-03-06,1998-01-01,120,2,0.0,0,0,0,0,-,N,P I F,50000.0,25000.0,62,0
283,BURT,IA,50522,EMPIRE ST. CERT. DEVEL CORP,IA,112210,1997-02-28,1997-01-01,112,2,1.0,0,0,0,0,N,N,P I F,262000.0,196500.0,11,0
284,York,PA,3909,MANUFACTURERS & TRADERS TR CO,NY,0,1998-03-06,1998-01-01,120,9,0.0,0,0,0,0,-,N,P I F,48000.0,24000.0,0,0
285,Boston,MA,2134,BANK OF AMERICA NATL ASSOC,MA,812320,1998-03-09,1998-01-01,84,7,1.0,0,0,0,0,-,N,P I F,17000.0,8500.0,81,0
286,PORTLAND,OR,4101,U.S. BANK NATIONAL ASSOCIATION,OR,0,1997-03-03,1997-01-01,240,10,1.0,2,10,0,0,N,N,P I F,210000.0,210000.0,0,8
287,Portland,OR,4101,KEYBANK NATIONAL ASSOCIATION,OR,448130,1998-03-10,1998-01-01,60,1,0.0,0,0,0,0,-,N,P I F,20000.0,10000.0,44,0
288,SCHAUMBURG,IL,60193,JPMORGAN CHASE BANK NATL ASSOC,IL,0,1997-02-28,1997-01-01,84,30,1.0,0,0,0,0,N,N,P I F,200000.0,150000.0,0,0
289,Kingston,NY,12401,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-03-10,1998-01-01,12,15,1.0,0,0,0,0,-,N,P I F,30000.0,15000.0,0,0
290,HASBROUCK HEIGHTS,NJ,7606,BANK OF AMERICA NATL ASSOC,IL,441120,1997-02-28,1997-01-01,36,2,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,44,0
291,East Bridgewater,MA,2333,BANK OF AMERICA NATL ASSOC,RI,0,1998-03-10,1998-01-01,38,12,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,0,0
292,Saugerties,NY,12477,KEYBANK NATIONAL ASSOCIATION,NY,0,1998-03-12,1998-01-01,84,6,0.0,0,0,0,0,-,N,P I F,85000.0,42500.0,0,0
293,NEW YORK,NY,10022,JPMORGAN CHASE BANK NATL ASSOC,NY,541820,1997-02-28,1997-01-01,36,4,1.0,0,0,0,0,Y,N,P I F,35000.0,17500.0,54,0
294,Kingston,NY,12401,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-03-13,1998-01-01,36,15,1.0,0,0,0,0,-,N,P I F,36000.0,18000.0,0,0
295,BATESVILLE,AR,38606,BANK OF AMERICA NATL ASSOC,AR,0,1997-02-28,1997-01-01,84,10,1.0,0,0,0,0,N,Y,P I F,90000.0,72000.0,0,0
296,Scotia,NY,12302,CAPITAL ONE NATL ASSOC,NY,0,1998-03-26,1998-01-01,60,3,0.0,0,0,0,0,-,N,P I F,25000.0,12500.0,0,0
297,COLO. SPRINGS,CO,80907,PIKES PEAK REGIONAL DEVEL CORP,CO,0,1997-02-28,1997-01-01,300,3,2.0,0,0,0,0,N,N,P I F,419000.0,314250.0,0,0
298,Pound Ridge,NY,10576,KEYBANK NATIONAL ASSOCIATION,OH,421990,1998-03-26,1998-01-01,12,2,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,42,0
